;Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;NumRepeticion
57;63245.0;7.419994;-0.0542;0.6278;-0.0487;20.7347;4.9273;2.2007;True;True;-0.1082;0.3471;0.2231;17.424;34.0129;287.6002;0.1492;-0.7247;0.3858;-124.6188;True;True;False;1.0;1.0;1.0;1.0;0.56;0.5795;0.5838;0.5469;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
58;63250.0;7.479994;-0.0585;0.6277;-0.0464;20.6661;4.1734;2.0787;True;True;-0.0872;0.3367;0.2682;11.026;39.8268;347.3271;0.0527;0.3327;0.081;-157.7626;True;True;False;0.0;0.0;0.0;0.0;0.1081;0.0;0.0469;0.0502;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
59;63255.0;7.559994;-0.0612;0.627;-0.0478;21.0979;3.9479;2.3827;True;True;-0.058;0.3747;0.2343;19.8311;47.5972;13.3385;0.3705;-0.9547;0.21;149.8932;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;True;5
60;63260.0;7.619994;-0.0601;0.6289;-0.0503;20.3349;3.849;3.0971;True;True;-0.0405;0.3775;0.1992;9.424;55.923;353.271;0.1246;0.6374;-1.26;-172.1634;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
61;63265.0;7.699994;-0.0586;0.6298;-0.0508;19.8878;4.331;3.3375;True;True;-0.0639;0.4074;0.2474;7.3357;50.5606;16.5268;-0.201;0.0027;0.9401;175.438;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
62;63270.0;7.759994;-0.0578;0.6289;-0.0504;20.2258;5.1414;3.4265;True;True;-0.0364;0.3982;0.2286;30.1332;48.6115;25.5876;1.229;-0.1315;-1.5213;155.9902;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
63;63275.0;7.839993;-0.0583;0.629;-0.0499;20.3949;6.3968;3.6981;True;True;0.0269;0.41;0.164;8.4129;56.8284;352.2969;0.4531;0.4976;-0.32;170.3592;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
64;63280.0;7.899993;-0.0595;0.6301;-0.0515;20.1772;7.5086;4.2875;True;True;0.1088;0.4283;0.1756;7.3854;66.6475;352.7467;2.0741;-0.5229;0.7923;175.6328;True;True;False;0.0736;0.0;0.0;0.0;0.0264;0.0304;0.056;0.0432;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
65;63290.0;8.039994;-0.0591;0.6314;-0.0531;19.3515;7.6235;5.0822;True;True;0.155;0.3875;0.1319;351.494;85.4078;19.3894;-0.9945;0.326;0.2216;177.12;True;True;False;0.0127;0.0;0.0;0.0;0.1218;0.0867;0.1207;0.1484;10595570-41f2-472c-a00f-cd6ba44697d0;False;6
66;63300.0;8.179997;-0.0531;0.6296;-0.0497;20.0164;7.7184;4.1925;True;True;0.1341;0.4267;0.1487;4.9273;69.1254;357.0547;-0.5155;0.2282;0.6221;167.1501;True;True;False;1.0;1.0;1.0;1.0;0.5411;0.6417;0.7145;0.6331;10595570-41f2-472c-a00f-cd6ba44697d0;False;6
67;63310.0;8.320001;-0.0517;0.6276;-0.0485;21.068;6.0237;2.6198;True;True;-0.0013;0.4705;0.2047;16.3853;45.8059;298.7949;-0.9002;-0.1876;0.3109;-165.6053;True;True;False;1.0;1.0;1.0;1.0;0.544;0.6338;0.6703;0.6514;10595570-41f2-472c-a00f-cd6ba44697d0;False;6
68;63320.0;8.460004;-0.0568;0.6276;-0.0487;20.8857;3.4806;2.0256;True;True;-0.123;0.3528;0.2042;19.2607;31.4683;295.2139;0.1156;-0.1997;-0.3899;-135.7086;True;True;False;1.0;1.0;1.0;1.0;0.5393;0.5292;0.543;0.5293;10595570-41f2-472c-a00f-cd6ba44697d0;False;6
69;63330.0;8.600007;-0.0642;0.6269;-0.0487;21.165;2.727;2.3381;True;True;-0.0956;0.3802;0.1809;21.6896;38.3098;10.1254;0.0305;-0.6788;0.2159;-173.4352;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10595570-41f2-472c-a00f-cd6ba44697d0;False;6
70;63335.0;8.660008;-0.0645;0.6282;-0.0508;20.8874;2.2456;2.5171;True;True;-0.0779;0.3954;0.2081;14.6095;49.3232;2.0905;0.3059;0.3139;0.7437;-177.2699;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10595570-41f2-472c-a00f-cd6ba44697d0;True;6
71;63340.0;8.74001;-0.0645;0.6292;-0.0506;20.3634;2.5448;2.9701;True;True;-0.0608;0.3997;0.2115;13.4237;55.5239;5.0717;0.1059;0.043;0.0634;173.992;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10595570-41f2-472c-a00f-cd6ba44697d0;False;6
